Age,Sex,Pref,DiagnoseYear,Population
35,female,5101,2005,149004
35,female,5101,2006,159052
35,female,5101,2007,146194
35,female,5101,2008,148293
35,female,5101,2009,146256
35,female,5101,2010,158439
35,female,5101,2011,143690
35,female,5101,2012,127186
35,female,5101,2013,112781
35,female,5101,2014,127156
35,female,5101,2015,119689
35,female,5101,2016,146390
35,female,5101,2017,155239
35,female,5101,2018,128532
36,female,5101,2000,112812
36,female,5101,2001,121731
36,female,5101,2002,119805
36,female,5101,2003,106615
36,female,5101,2004,139399
36,female,5101,2005,146255
36,female,5101,2006,152391
36,female,5101,2007,162842
36,female,5101,2008,150084
36,female,5101,2009,151942
36,female,5101,2010,149322
36,female,5101,2011,160648
36,female,5101,2012,145145
36,female,5101,2013,128076
36,female,5101,2014,113299
36,female,5101,2015,127498
36,female,5101,2016,120038
36,female,5101,2017,146765
36,female,5101,2018,155642
37,female,5101,2000,143115
37,female,5101,2001,113353
37,female,5101,2002,123292
37,female,5101,2003,121671
37,female,5101,2004,108935
37,female,5101,2005,142272
37,female,5101,2006,149758
37,female,5101,2007,156276
37,female,5101,2008,166779
37,female,5101,2009,153753
37,female,5101,2010,154996
37,female,5101,2011,151509
37,female,5101,2012,162066
37,female,5101,2013,146002
37,female,5101,2014,128571
37,female,5101,2015,113631
37,female,5101,2016,127830
37,female,5101,2017,120399
37,female,5101,2018,147148
38,female,5101,2000,69443
38,female,5101,2001,143434
38,female,5101,2002,114470
38,female,5101,2003,124659
38,female,5101,2004,123419
38,female,5101,2005,111195
38,female,5101,2006,145072
38,female,5101,2007,152937
38,female,5101,2008,159570
38,female,5101,2009,169900
38,female,5101,2010,156408
38,female,5101,2011,156929
38,female,5101,2012,152788
38,female,5101,2013,162841
38,female,5101,2014,146453
38,female,5101,2015,128877
38,female,5101,2016,113950
38,female,5101,2017,128179
38,female,5101,2018,120781
39,female,5101,2000,36093
39,female,5101,2001,69725
39,female,5101,2002,144268
39,female,5101,2003,115587
39,female,5101,2004,126135
39,female,5101,2005,125390
39,female,5101,2006,113750
39,female,5101,2007,148026
39,female,5101,2008,156071
39,female,5101,2009,162608
39,female,5101,2010,172524
39,female,5101,2011,158361
39,female,5101,2012,158241
39,female,5101,2013,153601
39,female,5101,2014,163310
39,female,5101,2015,146774
39,female,5101,2016,129219
39,female,5101,2017,114337
39,female,5101,2018,128602
40,female,5101,2000,38849
40,female,5101,2001,36425
40,female,5101,2002,70671
40,female,5101,2003,145399
40,female,5101,2004,117123
40,female,5101,2005,128168
40,female,5101,2006,128012
40,female,5101,2007,116814
40,female,5101,2008,151250
40,female,5101,2009,159190
40,female,5101,2010,165300
40,female,5101,2011,174509
40,female,5101,2012,159695
40,female,5101,2013,159059
40,female,5101,2014,154073
40,female,5101,2015,163619
